"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"406","NN3_MAE","g1",3,1,0.01,0.03944609834645,0.00350506968728174,0.0538058831801699,0.0838080621933543,0.0426783769236318,0.00339316053077287,0.0554637423852787,0.0274490642829858
"407","NN3_MAE","g1",3,1,0.1,0.0393974329052317,0.00350184989725712,0.0538036620876304,0.0828943081144926,0.0427012069153968,0.00340831067447722,0.0555785951176605,0.0232856891793591
"408","NN3_MAE","g1",3,1,1,0.0405729639408479,0.00360791771429086,0.0550126815691927,0.0358758746051883,0.0437479353733317,0.00350562926819996,0.0565416243837007,-0.00768601105693161
"409","NN3_MAE","g2",1,0,0,0.056431395926669,0.00535445685918341,0.0731545976504388,-0.000424736964883765,0.053956773775786,0.00488370932452749,0.0697696792614666,-0.0121231399315578
"410","NN3_MAE","g2",1,1,0.01,0.0470546040862488,0.00468141292241279,0.0638493424393313,-0.00482346652880146,0.0285903086381211,0.00177732591546856,0.0367947988497054,-0.025639653941969
"411","NN3_MAE","g2",1,1,0.1,0.0470217435151874,0.00466482491080358,0.0637297323733008,-0.00124129518798897,0.0286456245074156,0.00177886702770366,0.0367640608141812,-0.0192167502306002
"412","NN3_MAE","g2",1,1,1,0.0473073998814118,0.00471642442610468,0.0641214426827808,-0.0198599675681847,0.0289971518749882,0.00180282140418592,0.0371625516289848,-0.0305095265927463
"413","NN3_MAE","g2",2,0,0,0.0563666908204892,0.00533984652083227,0.0730282550418323,-0.00458321491430727,0.0548092315790794,0.00502246313134937,0.0707134398123994,-0.0229268632594791
"414","NN3_MAE","g2",2,1,0.01,0.0416928902084331,0.00378461124797098,0.0563691168418125,0.00274552626012829,0.0390108121637801,0.00302894779252302,0.0497692938580092,-0.0237971677868934
"415","NN3_MAE","g2",2,1,0.1,0.0418011136266398,0.00377999100893352,0.0563681272788237,-0.00162869837698643,0.0387128296960624,0.00298583209995267,0.049338569619957,-0.0112256967972944
"416","NN3_MAE","g2",2,1,1,0.0422044562912867,0.00383001296038494,0.056873347877167,-0.0242105492891276,0.0392595432415195,0.00305351548978353,0.0501066898070289,-0.0480387727744202
"417","NN3_MAE","g2",3,0,0,0.0556571499010156,0.00521982270900083,0.0721997100921491,-0.000427096459207887,0.0553517296268326,0.00509944484068695,0.0713531499999825,-0.0249391123965547
"418","NN3_MAE","g2",3,1,0.01,0.0405082927302901,0.00357572676768368,0.0547935259936199,0.00911948291438687,0.0432023597505374,0.00344098283480449,0.0559600814657692,0.000241817007932243
"419","NN3_MAE","g2",3,1,0.1,0.0408267559547097,0.00359985628112361,0.0550327977867792,-0.00674357865668702,0.0432184107044525,0.00345710181142052,0.0560759033774738,-0.00510658653294302
"420","NN3_MAE","g2",3,1,1,0.0409613876957853,0.00361906938019144,0.0552652371763461,-0.015190108629754,0.0435546583782351,0.00349332075984171,0.0564156591693618,-0.0103828084969066
"421","NN3_MAE","g3",1,0,0,0.056620795318708,0.00541743544607071,0.0735622943409567,0.0042134397920323,0.0555787916238752,0.00513430821709952,0.0715516867378559,0.0260641731800842
"422","NN3_MAE","g3",1,1,0.01,0.0468473725028413,0.00467006586207181,0.063719385186132,0.00631950478330101,0.0279434123411851,0.00173613112678371,0.0359958756576729,0.0456299432551818
"423","NN3_MAE","g3",1,1,0.1,0.0467390563867327,0.00465302629269181,0.06356945736726,0.0091124385408978,0.0276508211832091,0.00172600312454654,0.0357337085783542,0.0650338590723073
"424","NN3_MAE","g3",1,1,1,0.0475454195920147,0.0047350759719704,0.0643352983628314,-0.031595515913124,0.0289742766195693,0.00180954910245732,0.0372528879191667,0.0066663466852803
"425","NN3_MAE","g3",2,0,0,0.0567341112617437,0.00541225310822703,0.0735136254033683,0.00729838605025994,0.0554327069877392,0.00508072163691528,0.0711322730761828,-0.00406301258594313
"426","NN3_MAE","g3",2,1,0.01,0.0413521538669948,0.00375802831201435,0.0560989714360953,0.0223499595668461,0.0382979499076112,0.00298558073426363,0.049128281110845,0.0321712153471053
"427","NN3_MAE","g3",2,1,0.1,0.0411887609272738,0.00373744887330268,0.0558996929360577,0.0284406773081675,0.038082758268997,0.00294958624774642,0.0488376206587787,0.0371172532100493
"428","NN3_MAE","g3",2,1,1,0.0422358481000643,0.00383753382170902,0.0569847944782411,-0.0213867010256681,0.0395190125898277,0.00306788178787734,0.0503327681551565,-0.0208166905630825
"429","NN3_MAE","g3",3,0,0,0.0563577759928059,0.00533505555630644,0.0729861922148309,0.00606495387284722,0.0553689083711743,0.00512231595333458,0.0715478717482472,-0.00763713947312314
"430","NN3_MAE","g3",3,1,0.01,0.0401852464073993,0.00356331452955233,0.0545747631598959,0.0325908310234455,0.0431720973567145,0.00343245017116574,0.0558898562878121,0.0120439122056188
"431","NN3_MAE","g3",3,1,0.1,0.0399883988984008,0.0035431809659019,0.0543477844065248,0.0405355955662383,0.0428665428288857,0.0034038989293312,0.0556348165450107,0.0196831784112012
"432","NN3_MAE","g3",3,1,1,0.0406796685860415,0.00359963469976308,0.0550804463645559,0.0133910052076036,0.0437464391601848,0.00349728875948331,0.0565485887189414,-0.0107696339515538
"433","NN4_MSE","g1",1,0,0,0.0572897396419832,0.00553527353544846,0.0743628349105737,-0.000383171972322027,0.056531241851358,0.00531454857903108,0.0728266459425732,-0.0111102346623509
"434","NN4_MSE","g1",1,1,0.01,0.0475389330304661,0.0047353280878088,0.064240169991847,-0.00564682088371618,0.0284704450618214,0.00178562272255926,0.0366908828012807,-0.0197754899294635
"435","NN4_MSE","g1",1,1,0.1,0.0473935168010688,0.00472387203892095,0.0640988728620328,-0.000845620312154538,0.0285461266786211,0.00180177932140544,0.0367703655136034,-0.00843521330088415
"436","NN4_MSE","g1",1,1,1,0.0473250352335394,0.00471221528606058,0.064024713462937,-0.00659607730019942,0.0292172509654126,0.00187388945693207,0.037621843618518,-0.0078094474569558
"437","NN4_MSE","g1",2,0,0,0.057336415288631,0.00553068816028652,0.074318523992581,-0.00179788128839615,0.0553857733810679,0.00509203404393255,0.071135455645981,-0.00910742216852496
"438","NN4_MSE","g1",2,1,0.01,0.0424071690355607,0.00384863059759063,0.0571506357807057,-0.0270910203938155,0.0388458742945631,0.00300736155533438,0.0497040672916032,-0.0355688061795235
"439","NN4_MSE","g1",2,1,0.1,0.0423481479029405,0.00382555940851262,0.0570085588173408,-0.0280856305233602,0.0389573880104913,0.00302253677086336,0.0497906056041361,-0.0372963217503002
"440","NN4_MSE","g1",2,1,1,0.0420806207402396,0.00381036872606903,0.0567420222820966,-0.000925882774217324,0.0394345360090623,0.00305628296505442,0.0501533642320899,-0.00647754669721241
"441","NN4_MSE","g1",3,0,0,0.0567695168420415,0.00542159399906166,0.0735752261156503,0.00324617525605027,0.0552830434789506,0.00509119917601316,0.0713322094473088,-0.0012842717024107
"442","NN4_MSE","g1",3,1,0.01,0.0409063507340983,0.00363381616951802,0.0553290248012497,-0.00163488359996551,0.0433260295864437,0.00348280416381438,0.0563023795564863,-0.00651466844366686
"443","NN4_MSE","g1",3,1,0.1,0.0407754282645352,0.0036157707563058,0.0551263039961242,0.00956524366519977,0.0431280359603606,0.00345872380091225,0.0560883935998896,0.00199429101160122
"444","NN4_MSE","g1",3,1,1,0.041280175541228,0.0036405450884544,0.0556400748066025,-0.0113064321150045,0.0434942207833676,0.00348522246227001,0.0564300782549227,-0.00515629088463918
"445","NN4_MSE","g2",1,0,0,0.0566375327174559,0.00538760198051616,0.0733746646128843,-0.00626772189460918,0.0537359309396342,0.00487138879642158,0.06969452670297,-0.0103605436731451
