"","model","dgp_spec","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare","validation_MAE_ave","validation_MSE_ave","validation_RMSE_ave","validation_RSquare_ave","test_MAE_ave","test_MSE_ave","test_RMSE_ave","test_RSquare_ave"
"11","LM_MAE","g1",1,0.1,0.0428227892033608,0.00400515763580885,0.0581865856043552,0.0269215150293641,0.0368113279165434,0.00275546220722513,0.0474176798271379,0.00291884330316108,0.043534220543717,0.00406808243509414,0.0588736693085446,-0.0188483489282656,0.0376818802368595,0.0028309175368827,0.0484372350363006,-0.0657784952250684
"12","LM_MAE","g1",1,1,0.0479385503757299,0.00458585293439391,0.0639576290968472,-0.293602945196172,0.0423399003301091,0.00334445956659297,0.0540406993894373,-0.393044161359506,0.0489863286906537,0.00471766531362581,0.0650893870326948,-0.374061974159715,0.0437389403534827,0.00349911998723838,0.0557963602598127,-0.569174445956192
"13","LM_MAE","g2",1,0.01,0.0440191951068726,0.00411348607425892,0.0593817432675761,-0.0508858959686027,0.0383477870922675,0.00288623181002485,0.0491666183405152,-0.116369449805795,0.0432643898368096,0.00404369236695117,0.0586535729801982,-0.00625109459054219,0.0374376786725606,0.00280672421172608,0.048152787168018,-0.0474939150365457
"14","LM_MAE","g2",1,0.1,0.044322715762778,0.00413593023440182,0.0596154769186361,-0.0658222739618067,0.0387448643857429,0.00292749772916475,0.0496595024087013,-0.152579720654741,0.043534220543717,0.00406808243509414,0.0588736693085446,-0.0188483489282656,0.0376818802368595,0.0028309175368827,0.0484372350363006,-0.0657784952250684
"15","LM_MAE","g2",1,1,0.0499248345727569,0.00483607501655921,0.0660462580333733,-0.433927462037468,0.0453419878115011,0.00368472125210428,0.0576513412030288,-0.769955488698562,0.0489863286906537,0.00471766531362581,0.0650893870326948,-0.374061974159715,0.0437389403534827,0.00349911998723838,0.0557963602598127,-0.569174445956192
"16","LM_MAE","g3",1,0.01,0.0432141699389361,0.00403917376447569,0.0586172338965393,-0.00485519798455979,0.037323543435505,0.00279665046494703,0.0480686292373329,-0.0351619264456632,0.0432643898368096,0.00404369236695117,0.0586535729801982,-0.00625109459054219,0.0374376786725606,0.00280672421172608,0.048152787168018,-0.0474939150365457
"17","LM_MAE","g3",1,0.1,0.0434571566650121,0.00406315943507175,0.0588189454026425,-0.0176442878523543,0.0374894484082922,0.00280979267425822,0.0482345228730628,-0.0476746083236257,0.043534220543717,0.00406808243509414,0.0588736693085446,-0.0188483489282656,0.0376818802368595,0.0028309175368827,0.0484372350363006,-0.0657784952250684
"18","LM_MAE","g3",1,1,0.0490956011234744,0.00473106798992431,0.0652642739678639,-0.394655515245506,0.0435349329188377,0.00346817914301788,0.0556970401869719,-0.544523687810507,0.0489863286906537,0.00471766531362581,0.0650893870326948,-0.374061974159715,0.0437389403534827,0.00349911998723838,0.0557963602598127,-0.569174445956192
"19","ELN_MSE","g1",1,0.01,0.0410206105366424,0.00384234239122583,0.0564553736373349,0.108929996520146,0.0345878170548971,0.002566343540285,0.0449185581433196,0.140335139457426,0.0417143375547194,0.00389789382559951,0.0570812048847798,0.0715701362287636,0.0353880316905678,0.00262626985049389,0.045790833832168,0.0921177795338746
"20","ELN_MSE","g1",1,0.1,0.0410165507269967,0.00384189930586139,0.0564510906190807,0.108532866492304,0.0345629501748128,0.00256431227400179,0.0448934868067738,0.144237553971057,0.0417026222885236,0.00389368481151921,0.0570462862228896,0.0709976813561009,0.0353460897729036,0.00262236949946139,0.0457414269188371,0.0939123495863651
