yyyymm,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
201107,0.0451,-0.0642,-0.0525,492.0906
201108,0.0402,-0.1143,-0.1168,619.6157
201109,0.0354,-0.1274,-0.138,798.6187
201110,0.0387,0.0829,0.1214,666.7383
201111,0.0352,-0.1006,-0.0977,807.8346
201112,0.0363,0.0202,0.0086,758.6883
201201,0.0408,0.1127,0.1149,601.0285
201202,0.0436,0.0614,0.0722,525.7329
201203,0.0456,0.0392,0.0502,481.061
201204,0.043,-0.0631,-0.051,541.9344
201205,0.0379,-0.1241,-0.1401,695.8674
201206,0.0398,0.0399,0.0586,631.7171
201207,0.039,-0.0289,-0.0205,658.415
201208,0.0408,0.0384,0.0591,600.2032
201209,0.0433,0.0521,0.0686,534.2535
201210,0.0455,0.0454,0.054,482.9266
201211,0.0463,0.0113,0.0207,467.2598
201212,0.049,0.0533,0.0565,417.2462
201301,0.04922475536852466,0.06841171604167538,0.08539547258585412,412.6984777582411
201302,0.048409480047241396,-0.020184673205590163,0.003333642727370245,426.71623248682255
201303,0.04772633203766344,-0.018075670938797743,-0.01642260082228597,439.01957327994734
201304,0.05037339788253988,0.05120453408933778,0.044018306139626207,394.0918981290639
201305,0.05283711752733995,0.04574906722117871,0.07537564144150588,358.19685284097886
201306,0.05094508162538216,-0.038045129840051324,-0.061057948763887704,385.2968648386277
201307,0.05547913470799864,0.08606108078685276,0.06948492106479431,324.8932153705188
201308,0.05318719862586631,-0.04264849635616097,-0.04029179071707467,353.49702796475503
201309,0.05520394571851209,0.03580593481769068,0.01654346766451842,328.14044269560947
201310,0.05622312655550644,0.017035610912396637,0.025980322771523845,316.35158452800505
201311,0.05837948309010753,0.03725476752599606,0.040633144030866264,293.41310645311773
201312,0.06022896158217081,0.031237138513597145,0.0035853962348055823,275.6698367253854
201401,0.05817808372858584,-0.03396956769312403,-0.01967045729762129,295.44808224375043
201402,0.06063737479640541,0.04176945718628871,0.012461101115523565,271.968883376903
201403,0.05963504365602423,-0.016336531590426324,-0.0007089895927017142,281.18808689367023
