yyyymmdd,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
20150501,0.0617476336278025,-0.0010906936574688441,0.003085599212577561,262.27648983981703
20150504,0.062208608226656484,0.007428462559766248,0.007988132049017604,258.40387961140556
20150505,0.061730648638949205,-0.007714009625116763,-0.010353868831278312,262.4208387560041
20150506,0.06157220417180228,-0.002603934759695736,-0.0047025449127157115,263.7731576652795
20150507,0.061596437181244475,0.0003542013434085169,0.003234985999776452,263.56565345391465
20150508,0.06264158692893779,0.016928656991871925,0.015448323064681135,254.8440493795077
20150511,0.0627099168711772,0.0010656798113599527,0.0018907274005472985,254.28898590597402
20150512,0.06253317850396428,-0.0028425826835884517,-0.007440659480042577,255.72841797110317
20150513,0.06272843093084092,0.0030958316345225134,-6.340073123056733e-6,254.13890318831596
20150514,0.06298520913361387,0.004069497005720336,0.005096199481366304,252.07097927045874
20150515,0.06282220826565735,-0.0026085777040037285,-0.002681013435995361,253.38074196442554
20150518,0.06299430922451589,0.0027167216861748705,0.005371700828568526,251.99815671970987
20150519,0.0631114811362657,0.0018395026787040591,0.008755449811691518,251.06331268059017
20150520,0.06320382207872646,0.0014441170153007283,0.0027741974790198576,250.33024032424117
20150521,0.06330087720375518,0.001517755400263925,0.0005664490351235951,249.56319859483395
20150522,0.06307540805511629,-0.003578452597391201,0.0022466238087111012,251.35056304621423
20150526,0.06205253706580743,-0.016236125484942496,-0.01128723932632092,259.7053609855756
20150527,0.06264648753439257,0.009538823561782601,0.01241977419553053,254.804179904311
20150528,0.0626525883589737,7.232092717714143e-5,-0.0006472855406484124,254.75455897215124
20150529,0.06211024551036593,-0.0086813360184316,-0.009276145071644204,259.22298550038437
20150601,0.062050620092586384,-0.0009921360712061486,0.0022345250320243704,259.72140775229013
20150602,0.06265862632387512,0.00976561460225699,0.002729136577149349,254.7054635781679
20150603,0.06323198801909138,0.009125657624439995,0.010974406649991275,250.10727671051853
20150604,0.0630007621270029,-0.003674258785852502,-0.004563616616690025,251.9465371456274
