yyyyq,intermediary_capital_ratio,intermediary_capital_risk_factor,intermediary_value_weighted_investment_return,intermediary_leverage_ratio_squared
19833,0.0466,-0.1413,-0.1332,461.3618
19834,0.0453,-0.0423,0.0022,487.3053
19841,0.0424,-0.0808,-0.0381,555.7084
19842,0.0361,-0.1705,-0.1074,765.9731
19843,0.0418,0.1204,0.1807,572.8842
19844,0.0435,0.0168,0.0566,529.3503
19851,0.0479,0.0828,0.1245,434.9743
19852,0.0509,0.049,0.1216,385.5332
19853,0.0419,-0.1865,-0.1481,569.6769
19854,0.0502,0.1743,0.2857,397.2365
19861,0.0612,0.2099,0.2552,266.8955
19862,0.0582,-0.0468,-0.0538,294.9045
19863,0.0504,-0.1352,-0.1096,393.5155
19864,0.0503,-0.0113,0.0348,394.6643
19871,0.053,0.0429,0.0996,356.074
19872,0.0544,0.0203,0.0142,337.6768
19873,0.0554,0.0133,0.0165,325.6977
19874,0.0388,-0.3033,-0.3273,663.6841
19881,0.0398,-0.0042,0.0869,631.2809
19882,0.0463,0.1366,0.1576,465.8767
19883,0.0471,0.0015,0.0418,450.2776
19884,0.0454,-0.0501,-0.0199,484.2536
19891,0.0507,0.099,0.1639,388.7629
19892,0.0508,-0.007,0.049,386.9154
19893,0.0574,0.1203,0.1373,303.2216
19894,0.0526,-0.0853,-0.1026,361.0093
19901,0.0469,-0.1159,-0.1059,454.5833
19902,0.0484,0.0165,0.0628,427.432
19903,0.035,-0.2885,-0.2716,815.1838
19904,0.0394,0.0853,0.1189,645.0307
19911,0.0472,0.1695,0.2704,449.5197
19912,0.0457,-0.0457,-0.028,479.0571
19913,0.0509,0.0982,0.1623,385.4507
19914,0.0494,-0.0385,-0.0058,409.1582
19921,0.0564,0.1302,0.0498,314.121
19922,0.0585,0.0335,0.0725,292.5247
19923,0.0551,-0.0586,-0.028,329.5886
19924,0.0668,0.2094,0.1368,223.7764
19931,0.0703,0.0582,0.1332,202.3029
19932,0.072,0.0337,0.03,192.6416
19933,0.0776,0.0869,0.1253,166.1187
19934,0.0729,-0.0468,-0.0606,188.0467
19941,0.0645,-0.1056,-0.0691,240.728
19942,0.0658,0.0252,0.0467,231.0952
19943,0.0639,-0.0233,0.0181,245.0811
19944,0.0608,-0.0434,-0.0284,270.1508
19951,0.0637,0.0478,0.1206,246.7595
19952,0.0699,0.1026,0.1598,204.4391
19953,0.081,0.1671,0.1924,152.3474
19954,0.0764,-0.0421,0.0056,171.436
19961,0.0836,0.1067,0.1396,143.2435
19962,0.0813,-0.0107,0.0159,151.3293
19963,0.087,0.0857,0.1018,132.0889
19964,0.0945,0.104,0.1686,111.9967
19971,0.0938,0.014,0.0529,113.5918
19972,0.1032,0.1206,0.1883,93.9116
19973,0.1153,0.1412,0.1488,75.2379
19974,0.1176,0.0475,0.0371,72.2971
19981,0.128,0.1165,0.14,61.0175
19982,0.1315,0.0575,0.0492,57.8209
19983,0.0859,-0.3157,-0.3402,135.4547
19984,0.116,0.3673,0.2794,74.3491
19991,0.1274,0.126,0.1479,61.6188
19992,0.1297,0.0484,0.0316,59.4353
19993,0.1115,-0.1096,-0.1349,80.3993
19994,0.1183,0.0872,0.0997,71.4534
20001,0.1107,-0.0358,0.0081,81.5462
20002,0.1059,-0.0178,-0.0404,89.2214
20003,0.1206,0.1636,0.2037,68.807
20004,0.114,-0.0255,0.001,76.9123
20011,0.1067,-0.0368,-0.0958,87.7712
20012,0.11,0.0558,0.0309,82.6215
20013,0.0898,-0.1576,-0.1389,123.9622
20014,0.0901,0.0227,0.1492,123.0958
20021,0.0939,0.0607,0.0272,113.5129
20022,0.0894,-0.0271,-0.0321,125.2185
20023,0.0723,-0.1723,-0.1936,191.4924
20024,0.0757,0.0572,0.0933,174.6694
20031,0.0685,-0.0831,-0.032,213.4175
20032,0.0802,0.1797,0.2644,155.3576
20033,0.0835,0.0556,0.0552,143.4128
20034,0.0915,0.1123,0.1513,119.4128
20041,0.0872,-0.0272,0.0295,131.5198
20042,0.086,0.0049,-0.0225,135.0635
20043,0.0861,0.0186,0.0285,134.7965
20044,0.0895,0.0573,0.1177,124.7077
20051,0.0748,-0.1453,-0.039,178.6069
20052,0.0761,0.0284,0.0078,172.8033
20053,0.0793,0.0549,0.0626,159.0216
20054,0.0833,0.0645,0.0777,144.185
20061,0.0846,0.0316,0.0896,139.8673
20062,0.0797,-0.0404,0.0022,157.3678
20063,0.0814,0.0359,0.0968,150.8428
20064,0.0818,0.0201,0.0626,149.4307
20071,0.0703,-0.1249,-0.0049,202.2787
20072,0.0704,0.0097,0.0471,201.9464
20073,0.0644,-0.0756,-0.034,240.9789
20074,0.0568,-0.1136,-0.0884,309.9218
20081,0.0446,-0.2178,-0.125,503.4633
20082,0.0397,-0.1274,-0.1332,634.0744
20083,0.0447,0.0967,0.023,501.5538
20084,0.026,-0.4368,-0.4061,1483.2013
20091,0.0265,-0.0516,-0.1721,1424.1933
20092,0.0401,0.4454,0.4994,620.5691
20093,0.052,0.2685,0.2816,369.8997
20094,0.0505,-0.037,-0.0541,392.4792
20101,0.0544,0.0674,0.0642,338.3008
20102,0.046,-0.159,-0.1681,472.6668
20103,0.048,0.0281,0.0999,433.4138
20104,0.0495,0.0178,0.0219,407.8335
20111,0.0507,0.0123,0.0703,389.4913
20112,0.048,-0.063,-0.0426,434.7743
20113,0.0354,-0.2754,-0.2786,798.6187
20114,0.0363,-0.0119,0.0205,758.6883
20121,0.0456,0.2203,0.2554,481.061
20122,0.0398,-0.1442,-0.1361,631.7171
20123,0.0433,0.0599,0.1086,534.2535
20124,0.049,0.1108,0.1367,417.2462
20131,0.04772633203766344,0.024454925184734307,0.0711293544918774,439.01957327994734
20132,0.05094508162538216,0.053904161846090135,0.054161372683202424,385.2968648386277
20133,0.05520394571851209,0.07447345040167298,0.04337356544112847,328.14044269560947
20134,0.06022896158217081,0.0869518462753235,0.07149714587466693,275.6698367253854
20141,0.05963504365602423,-0.008896362264214882,-0.008158176189291155,281.18808689367023
20142,0.058450779867276134,-0.019445219115615975,-0.022881347840107202,292.69774729333506
20143,0.06047819371009969,0.03396632866966644,0.06574983930427547,273.4024339906235
20144,0.06150354595343581,0.018146860012010754,0.02014055503723733,264.362401854347
20151,0.05839791826414955,-0.04838320133319544,-0.024009181197610863,293.2278851964995
20152,0.06449010367388847,0.10355082437486184,0.060976667299806,240.44394771064472
20153,0.058097037018649815,-0.09451003355022689,-0.08851643975949797,296.2729710240741
20154,0.0626751878307633,0.07773496393318485,0.04037768262065411,254.57087286992697
20161,0.051083329959896395,-0.18182596975325746,-0.15069444760794015,383.21420611844525
20162,0.0532210515946517,0.03290114961096168,-0.0034103637811264687,353.0474645863263
20163,0.058146613355872116,0.08622426250721767,0.10658802162873982,295.7679762786474
20164,0.07429144667325573,0.2766394292457045,0.27561908591677176,181.1850537471384
20171,0.07420417959419087,0.010268890998717563,0.02905042448853168,181.61146605893472
20172,0.07583220598704228,0.03333058869221424,0.031401240603611935,173.8972123338923
20173,0.07789307605838672,0.03953214804333313,0.047844475815170595,164.81710836466067
20174,0.08338266107053278,0.08399465236350984,0.08154646885358963,143.82967458696396
20181,0.07673836384202787,-0.06334750778424732,-0.03653596381763169,169.81456207779323
20182,0.07461427996583037,-0.0148049197002166,-0.020625615239465045,179.62058035893673
20183,0.07574486784904005,0.026790167597926972,0.02738027684748312,174.29847027763856
