This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201905 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
199603,    0.73,    1.54,    1.00,    1.30,   -0.97,    0.39
199604,    2.06,    4.64,   -3.90,    0.17,   -2.20,    0.46
199605,    2.36,    3.17,   -1.20,    0.43,   -0.22,    0.42
199606,   -1.14,   -3.47,    1.56,    3.47,    1.08,    0.40
199607,   -5.97,   -3.68,    4.45,    2.84,    2.60,    0.45
199608,    2.77,    2.54,   -0.46,   -0.30,   -2.43,    0.41
199609,    5.01,   -1.32,   -3.14,    1.51,   -2.18,    0.44
199610,    0.86,   -3.89,    5.12,    1.32,    2.97,    0.42
199611,    6.25,   -3.79,    1.16,    2.01,   -0.73,    0.41
199612,   -1.70,    3.22,    0.90,    0.57,    1.51,    0.46
199701,    4.98,   -1.82,   -1.64,    1.27,   -0.27,    0.45
199702,   -0.49,   -2.52,    5.19,    0.73,    3.40,    0.39
199703,   -5.02,   -0.48,    3.81,    0.35,    1.67,    0.43
199704,    4.04,   -5.74,   -0.07,    3.29,   -0.91,    0.43
199705,    6.74,    4.65,   -3.87,   -0.98,   -2.90,    0.49
199706,    4.10,    1.26,    1.23,    1.02,    0.54,    0.37
199707,    7.33,   -2.83,    0.84,   -0.24,   -2.54,    0.43
199708,   -4.15,    7.66,    1.38,   -0.94,   -0.03,    0.41
199709,    5.35,    2.56,    0.02,   -1.39,   -0.91,    0.44
199710,   -3.80,   -0.50,    1.96,    1.09,    1.89,    0.42
199711,    2.98,   -5.03,    0.78,    3.07,    1.66,    0.39
199712,    1.32,   -2.01,    3.46,    1.18,    1.91,    0.48
199801,    0.15,   -1.40,   -1.45,    0.46,   -0.83,    0.43
199802,    7.04,   -0.02,   -0.13,   -0.87,   -2.42,    0.39
199803,    4.76,   -0.66,    1.06,   -1.02,   -0.48,    0.39
199804,    0.73,   -0.01,    0.74,   -2.13,   -0.23,    0.43
199805,   -3.07,   -3.11,    4.16,    0.97,    2.54,    0.40
199806,    3.18,   -3.67,   -2.32,   -0.52,   -2.91,    0.41
199807,   -2.46,   -5.32,   -0.97,    1.82,    0.45,    0.40
199808,  -16.08,   -5.01,    3.41,    3.48,    5.84,    0.43
199809,    6.15,   -0.82,   -3.31,   -1.52,   -2.90,    0.46
199810,    7.13,   -3.53,   -2.20,    0.59,    0.27,    0.32
199811,    6.10,    0.65,   -3.14,   -1.25,   -1.15,    0.31
199812,    6.16,   -1.50,   -4.46,   -0.75,   -3.35,    0.38
199901,    3.50,   -0.75,   -4.03,   -2.69,   -6.88,    0.35
199902,   -4.08,   -5.15,    1.40,   -1.71,    4.09,    0.35
199903,    3.45,   -4.30,   -2.64,   -4.20,   -1.38,    0.43
199904,    4.33,    4.65,    2.51,   -2.42,    0.92,    0.37
199905,   -2.46,    3.73,    2.40,    1.09,    3.34,    0.34
199906,    4.77,    2.26,   -3.59,    1.32,   -3.39,    0.40
199907,   -3.49,    2.53,   -0.76,    0.48,    3.11,    0.38
199908,   -1.38,   -1.93,   -1.31,   -0.29,    0.31,    0.39
199909,   -2.79,    2.56,   -3.40,   -0.74,   -1.06,    0.39
199910,    6.12,   -7.08,   -2.88,   -1.71,   -1.25,    0.39
199911,    3.37,    5.90,   -6.51,   -3.85,   -1.58,    0.36
199912,    7.72,    5.41,   -8.74,   -7.90,   -5.29,    0.44
200001,   -4.74,    4.16,   -0.29,   -6.05,    4.73,    0.41
200002,    2.45,   18.32,   -9.93,  -18.33,   -0.50,    0.43
200003,    5.20,  -14.91,    7.37,   11.67,   -1.05,    0.47
200004,   -6.40,   -5.55,    8.61,    7.54,    5.27,    0.46
200005,   -4.42,   -3.67,    2.56,    4.63,    0.74,    0.50
200006,    4.64,   10.39,   -9.86,   -6.82,   -3.07,    0.40
200007,   -2.51,   -0.97,    8.14,    5.98,    3.00,    0.48
200008,    7.03,   -1.10,   -0.68,   -3.06,    0.61,    0.50
200009,   -5.45,    0.21,    6.24,    3.07,    6.38,    0.51
200010,   -2.76,   -2.80,    5.52,    9.65,    4.70,    0.56
200011,  -10.72,   -0.46,   11.30,   13.31,    8.51,    0.51
200012,    1.19,    3.16,    7.33,    1.83,    5.72,    0.50
200101,    3.13,    5.81,   -4.90,   -4.43,   -6.54,    0.54
200102,  -10.05,    2.66,   12.90,    9.00,    9.58,    0.38
200103,   -7.26,    2.31,    6.45,    3.38,    3.95,    0.42
200104,    7.94,   -0.64,   -4.69,   -2.71,   -3.97,    0.39
200105,    0.72,    3.58,    3.14,    0.18,    2.19,    0.32
200106,   -1.94,    6.62,   -1.06,    2.04,   -1.80,    0.28
200107,   -2.13,   -2.91,    5.58,    7.17,    3.00,    0.30
200108,   -6.46,    2.72,    2.50,    3.95,    6.50,    0.31
200109,   -9.25,   -5.69,    1.60,    4.93,    3.28,    0.28
200110,    2.46,    5.41,   -8.10,   -2.62,   -4.60,    0.22
200111,    7.54,   -0.31,    2.00,   -3.76,   -1.66,    0.17
200112,    1.61,    5.13,    1.10,    0.31,   -0.32,    0.15
200201,   -1.44,    1.19,    3.33,    4.36,    2.84,    0.14
200202,   -2.29,   -0.47,    2.50,    7.62,    5.14,    0.13
200203,    4.24,    4.27,    1.11,   -1.35,    0.58,    0.13
200204,   -5.20,    6.66,    3.93,    4.57,    5.39,    0.15
200205,   -1.38,   -3.07,    1.69,    2.27,    2.41,    0.14
200206,   -7.21,    3.77,    0.13,    3.62,    2.54,    0.13
200207,   -8.18,   -6.24,   -3.41,    4.20,   -0.73,    0.15
200208,    0.50,   -1.27,    2.49,    1.15,   -1.61,    0.14
200209,  -10.35,    3.07,    1.31,    3.27,   -2.29,    0.14
200210,    7.84,   -4.12,   -5.46,   -3.29,    0.92,    0.14
200211,    5.96,    2.90,   -1.15,   -9.14,    5.16,    0.12
200212,   -5.76,    0.49,    2.25,    6.05,   -1.61,    0.11
200301,   -2.57,    0.81,   -0.93,   -0.61,    0.81,    0.10
200302,   -1.88,   -0.89,   -1.46,    1.04,   -0.54,    0.09
200303,    1.09,    0.55,   -2.09,    1.81,   -0.69,    0.10
200304,    8.22,    1.06,    1.03,   -4.58,    1.15,    0.10
200305,    6.05,    4.83,   -0.30,   -6.92,    3.22,    0.09
200306,    1.42,    1.68,    0.66,    0.54,   -0.32,    0.10
200307,    2.35,    4.73,   -1.15,   -4.17,    1.89,    0.07
200308,    2.34,    2.54,    2.03,   -2.48,    2.19,    0.07
200309,   -1.24,    0.52,    0.02,    1.34,    0.28,    0.08
200310,    6.08,    2.64,    1.76,   -1.58,    1.58,    0.07
200311,    1.35,    2.20,    1.86,    0.07,    1.69,    0.07
200312,    4.29,   -2.70,    2.42,    0.00,    1.00,    0.08
200401,    2.15,    2.56,    1.97,   -3.54,    3.34,    0.07
200402,    1.40,   -0.91,    0.49,    2.28,   -1.35,    0.06
200403,   -1.32,    2.10,    0.21,    1.50,   -1.04,    0.09
200404,   -1.83,   -2.18,   -2.62,    3.30,   -2.82,    0.08
200405,    1.17,   -0.40,   -0.39,   -0.98,   -0.09,    0.06
200406,    1.86,    2.56,    1.38,    1.12,   -0.39,    0.08
200407,   -4.06,   -3.01,    4.10,    5.08,   -1.64,    0.10
200408,    0.08,   -1.28,    1.03,    1.31,   -1.42,    0.11
200409,    1.60,    3.28,   -0.25,   -1.34,   -1.88,    0.11
200410,    1.43,    0.29,   -0.62,   -0.08,    0.41,    0.11
200411,    4.54,    4.12,    1.79,   -1.05,   -0.23,    0.15
200412,    3.43,    0.01,   -0.06,   -1.27,    0.50,    0.16
200501,   -2.76,   -1.11,    1.97,    3.05,   -1.37,    0.16
200502,    1.89,   -0.30,    1.63,    1.21,   -0.06,    0.16
200503,   -1.97,   -1.41,    1.58,    0.48,    1.10,    0.21
200504,   -2.61,   -4.03,   -0.34,    0.96,   -0.88,    0.21
200505,    3.65,    2.72,   -0.81,   -1.31,    0.27,    0.24
200506,    0.57,    3.27,    2.62,    0.98,   -0.53,    0.23
200507,    3.92,    2.83,   -0.51,   -1.17,   -0.98,    0.24
200508,   -1.22,   -0.86,    1.27,   -2.24,    0.45,    0.30
200509,    0.49,   -0.31,    0.77,    0.50,   -0.57,    0.29
200510,   -2.02,   -1.41,    0.23,   -0.56,   -1.26,    0.27
200511,    3.61,    0.80,   -1.18,   -0.58,   -1.17,    0.31
200512,   -0.25,   -0.28,    0.44,    0.12,    0.21,    0.32
200601,    3.04,    5.78,    1.12,   -0.94,   -0.53,    0.35
200602,   -0.30,   -0.45,   -0.25,   -0.71,    2.03,    0.34
200603,    1.46,    3.45,    0.61,   -0.04,   -0.53,    0.37
200604,    0.73,   -0.82,    2.59,    1.16,   -0.20,    0.36
200605,   -3.57,   -2.99,    2.55,    0.93,    1.31,    0.43
200606,   -0.35,   -0.24,    0.87,    1.37,   -0.12,    0.40
200607,   -0.78,   -3.69,    2.94,    1.60,    0.93,    0.40
200608,    2.03,    0.44,   -1.72,   -1.73,    2.15,    0.42
200609,    1.84,   -1.44,    0.05,    0.89,    0.54,    0.41
200610,    3.23,    1.93,   -0.04,   -0.21,    0.24,    0.41
200611,    1.71,    0.82,    0.07,    0.12,   -0.87,    0.42
200612,    0.87,   -0.79,    3.16,   -0.81,    2.05,    0.40
200701,    1.40,    0.08,   -0.11,    0.23,    0.23,    0.44
200702,   -1.96,    1.40,   -0.09,   -0.46,   -0.75,    0.38
200703,    0.68,    0.07,   -0.22,    0.26,   -0.59,    0.43
200704,    3.49,   -2.02,   -1.15,    1.01,    1.01,    0.44
200705,    3.24,    0.29,   -0.05,    1.14,   -1.30,    0.41
200706,   -1.96,    0.76,   -1.13,    0.55,    0.07,    0.40
200707,   -3.73,   -2.88,   -3.34,    0.60,   -1.04,    0.40
200708,    0.92,   -0.34,   -2.24,   -0.90,   -0.55,    0.42
200709,    3.22,   -2.42,   -1.87,   -0.56,   -3.17,    0.32
200710,    1.80,    0.03,   -2.59,   -0.31,   -0.10,    0.32
200711,   -4.83,   -2.82,   -1.18,    1.90,   -0.33,    0.34
200712,   -0.87,    0.17,   -0.52,    0.71,   -1.09,    0.27
200801,   -6.36,   -0.51,    3.65,    1.96,    2.20,    0.21
200802,   -3.09,   -0.52,   -0.95,    0.74,   -1.07,    0.13
200803,   -0.93,    0.74,   -0.15,    1.11,    0.47,    0.17
200804,    4.60,   -1.15,   -0.96,    1.29,   -2.56,    0.18
200805,    1.86,    3.21,   -1.38,    0.81,    0.04,    0.18
200806,   -8.44,    1.14,   -2.43,    4.31,   -0.42,    0.17
200807,   -0.77,    3.67,    5.81,   -0.99,    1.06,    0.15
200808,    1.53,    3.42,    1.56,    1.84,    0.82,    0.13
200809,   -9.24,    0.38,    6.33,    2.91,    1.82,    0.15
200810,  -17.23,   -3.22,   -2.90,    3.61,    1.89,    0.08
200811,   -7.86,   -3.89,   -5.94,    4.82,    2.72,    0.03
200812,    1.74,    3.36,   -0.24,   -0.07,   -1.41,    0.00
200901,   -8.12,   -2.06,  -11.10,    0.26,   -1.19,    0.00
200902,  -10.10,   -1.19,   -7.25,    1.72,   -1.11,    0.01
200903,    8.95,    0.66,    3.52,   -2.30,   -2.25,    0.02
200904,   10.19,    6.73,    5.46,    0.28,    0.14,    0.01
200905,    5.21,   -2.33,   -0.21,   -0.99,   -2.12,    0.00
200906,    0.43,    2.32,   -2.71,   -1.07,   -0.16,    0.01
200907,    7.72,    2.43,    5.27,   -0.65,    3.21,    0.01
200908,    3.33,   -0.04,    7.76,   -3.04,    3.20,    0.01
200909,    4.08,    2.74,    0.92,    1.49,    0.40,    0.01
200910,   -2.59,   -4.78,   -4.18,    4.20,   -1.68,    0.00
200911,    5.56,   -2.79,   -0.17,    0.81,    0.15,    0.00
200912,    2.75,    6.22,    0.01,    0.44,   -0.08,    0.01
201001,   -3.36,    0.30,    0.31,   -1.37,    0.43,    0.00
201002,    3.40,    1.46,    3.17,   -0.35,    1.41,    0.00
201003,    6.31,    1.78,    2.10,   -0.56,    1.69,    0.01
201004,    2.00,    5.05,    2.81,    1.05,    1.72,    0.01
201005,   -7.89,    0.06,   -2.38,    1.37,   -0.22,    0.01
201006,   -5.56,   -2.50,   -4.50,   -0.21,   -1.52,    0.01
201007,    6.93,    0.09,   -0.26,    0.23,    1.99,    0.01
201008,   -4.77,   -3.12,   -1.96,    0.61,   -1.70,    0.01
201009,    9.54,    3.73,   -3.12,   -0.16,    0.48,    0.01
201010,    3.88,    0.79,   -2.59,    1.34,   -0.23,    0.01
201011,    0.60,    3.60,   -0.90,    0.29,    1.63,    0.01
201012,    6.82,    0.97,    3.82,   -3.66,    3.23,    0.01
201101,    1.99,   -2.40,    0.83,   -0.81,    0.70,    0.01
201102,    3.49,    1.63,    1.08,   -1.92,    0.94,    0.01
201103,    0.45,    2.66,   -1.57,    1.55,   -0.03,    0.01
201104,    2.90,   -0.52,   -2.53,    1.10,   -0.85,    0.00
201105,   -1.27,   -0.70,   -2.07,    1.99,   -1.50,    0.00
201106,   -1.75,    0.10,   -0.33,    2.38,   -1.46,    0.00
201107,   -2.36,   -1.29,   -1.23,    2.41,   -1.82,    0.00
201108,   -5.99,   -3.21,   -2.44,    3.20,   -0.23,    0.01
201109,   -7.59,   -3.74,   -1.46,    1.89,    0.23,    0.00
201110,   11.35,    3.56,   -0.17,   -1.92,   -0.85,    0.00
201111,   -0.28,   -0.27,   -0.34,    1.78,    1.52,    0.00
201112,    0.74,   -0.45,    1.75,    0.77,    2.39,    0.00
201201,    5.05,    2.15,   -1.11,   -1.82,   -1.38,    0.00
201202,    4.42,   -1.63,    0.09,   -0.19,   -0.08,    0.00
201203,    3.11,   -0.45,    0.87,   -0.39,    0.79,    0.00
201204,   -0.85,   -0.59,   -0.46,    1.11,    0.65,    0.00
201205,   -6.19,   -0.08,   -0.62,    2.25,    2.37,    0.01
201206,    3.89,    0.96,    0.44,   -1.24,    0.34,    0.00
201207,    0.79,   -2.65,   -0.26,    1.14,    0.10,    0.00
201208,    2.55,    0.46,    1.32,   -1.21,   -0.75,    0.01
201209,    2.73,    0.68,    1.54,   -1.37,    1.58,    0.01
201210,   -1.76,   -0.80,    3.79,   -1.34,    2.29,    0.01
201211,    0.78,    0.35,   -0.96,    0.68,    0.93,    0.01
201212,    1.18,    1.87,    3.56,   -1.98,    0.86,    0.01
201301,    5.57,    0.56,    0.95,   -1.67,    1.49,    0.00
201302,    1.29,   -0.37,    0.03,   -0.66,    0.47,    0.00
201303,    4.03,    0.78,   -0.29,    0.07,    1.37,    0.00
201304,    1.55,   -2.29,    0.63,    0.10,    0.49,    0.00
201305,    2.80,    2.07,    2.60,   -1.65,   -0.80,    0.00
201306,   -1.20,    1.40,   -0.18,   -0.34,   -0.07,    0.00
201307,    5.65,    1.80,    0.56,   -1.46,    0.58,    0.00
201308,   -2.71,   -0.02,   -2.78,    0.61,   -2.17,    0.00
201309,    3.77,    2.68,   -1.19,   -0.74,   -1.29,    0.00
201310,    4.18,   -1.51,    1.14,    2.69,    0.89,    0.00
201311,    3.12,    1.35,    0.24,    0.14,    0.07,    0.00
201312,    2.81,   -0.53,   -0.31,   -0.52,    0.07,    0.00
201401,   -3.32,    0.59,   -2.09,   -4.00,   -1.38,    0.00
201402,    4.65,    0.13,   -0.40,   -0.24,   -0.44,    0.00
201403,    0.43,   -1.17,    5.08,    2.15,    1.89,    0.00
201404,   -0.19,   -4.17,    1.14,    3.51,    1.05,    0.00
201405,    2.06,   -1.89,   -0.27,    0.09,   -1.06,    0.00
201406,    2.61,    3.08,   -0.74,   -1.99,   -1.94,    0.00
201407,   -2.04,   -4.25,    0.01,    0.95,    0.48,    0.00
201408,    4.24,    0.29,   -0.58,   -0.64,   -0.68,    0.00
201409,   -1.97,   -3.79,   -1.23,    1.14,   -0.53,    0.00
201410,    2.52,    3.79,   -1.68,   -0.48,   -0.14,    0.00
201411,    2.55,   -2.31,   -2.99,    1.40,    0.20,    0.00
201412,   -0.06,    2.87,    2.06,   -1.16,    0.88,    0.00
201501,   -3.11,   -0.86,   -3.47,    1.66,   -1.71,    0.00
201502,    6.13,    0.20,   -1.79,   -1.07,   -1.71,    0.00
201503,   -1.12,    3.04,   -0.46,    0.08,   -0.52,    0.00
201504,    0.59,   -3.02,    1.86,   -0.16,   -0.50,    0.00
201505,    1.36,    0.76,   -1.37,   -1.71,   -0.75,    0.00
201506,   -1.53,    2.87,   -0.79,    0.52,   -1.49,    0.00
201507,    1.54,   -4.55,   -4.12,    0.03,   -2.57,    0.00
201508,   -6.04,    0.40,    2.68,    0.76,    1.22,    0.00
201509,   -3.08,   -2.78,    0.52,    1.81,   -0.52,    0.00
201510,    7.75,   -2.16,   -0.08,    0.82,    0.46,    0.00
201511,    0.56,    3.34,   -0.52,   -2.57,   -1.13,    0.00
201512,   -2.17,   -2.98,   -2.58,    0.30,    0.08,    0.01
201601,   -5.77,   -3.43,    2.10,    2.61,    3.00,    0.01
201602,   -0.07,    0.94,   -0.48,    3.29,    2.10,    0.02
201603,    6.96,    1.10,    1.12,    0.82,   -0.06,    0.02
201604,    0.92,    1.17,    3.26,   -2.88,    1.96,    0.01
201605,    1.78,   -0.70,   -1.81,   -1.03,   -2.60,    0.01
201606,   -0.05,    0.49,   -1.49,    1.20,    1.92,    0.02
201607,    3.95,    2.65,   -1.10,    1.33,   -1.27,    0.02
201608,    0.50,    1.71,    3.33,   -1.30,   -0.38,    0.02
201609,    0.25,    1.71,   -1.50,   -2.44,   -0.03,    0.02
201610,   -2.02,   -4.00,    4.17,    1.12,    0.19,    0.02
201611,    4.86,    6.87,    8.32,    0.01,    3.63,    0.01
201612,    1.82,    0.37,    3.55,    1.04,   -0.26,    0.03
201701,    1.94,   -1.28,   -2.76,   -0.13,   -0.97,    0.04
201702,    3.57,   -2.11,   -1.78,    0.72,   -1.75,    0.04
201703,    0.17,    0.76,   -3.16,    0.60,   -0.98,    0.03
201704,    1.09,    0.49,   -1.87,    1.94,   -1.57,    0.05
201705,    1.06,   -3.07,   -3.77,    1.17,   -1.87,    0.06
201706,    0.78,    2.48,    1.35,   -1.99,   -0.06,    0.06
201707,    1.87,   -1.58,   -0.28,   -0.69,   -0.15,    0.07
201708,    0.16,   -1.86,   -2.24,    0.32,   -2.44,    0.09
201709,    2.51,    4.82,    3.03,   -1.18,    1.64,    0.09
201710,    2.25,   -1.97,   -0.06,    1.05,   -3.34,    0.09
201711,    3.12,   -0.43,   -0.05,    3.16,    0.00,    0.08
201712,    1.06,   -1.02,    0.14,    0.62,    1.65,    0.09
201801,    5.58,   -3.15,   -1.37,   -0.49,   -0.89,    0.11
201802,   -3.65,    0.35,   -1.19,    0.46,   -2.25,    0.11
201803,   -2.35,    3.52,   -0.11,   -0.48,   -0.01,    0.12
201804,    0.29,    0.94,    0.53,   -2.08,    1.18,    0.14
201805,    2.65,    4.72,   -3.16,   -1.94,   -1.39,    0.14
201806,    0.48,    0.85,   -2.39,    0.73,    0.33,    0.14
201807,    3.19,   -1.92,    0.40,    1.60,    0.56,    0.16
201808,    3.44,    0.76,   -4.11,   -0.34,   -2.65,    0.16
201809,    0.06,   -2.51,   -1.35,    0.61,    1.19,    0.15
201810,   -7.68,   -4.43,    3.41,    0.72,    3.49,    0.19
201811,    1.69,   -0.81,    0.20,   -0.63,    0.42,    0.18
201812,   -9.55,   -3.00,   -1.51,   -0.27,    0.10,    0.19
201901,    8.41,    3.09,   -0.60,   -0.66,   -1.46,    0.21
201902,    3.40,    1.73,   -2.84,    0.26,   -1.47,    0.18
201903,    1.10,   -3.57,   -4.07,    0.91,   -1.02,    0.19
201904,    3.96,   -1.14,    1.98,    1.74,   -2.13,    0.21
201905,   -6.94,   -1.52,   -2.38,   -0.29,    1.85,    0.21

 Annual Factors: January-December 
,Mkt-RF,SMB,HML,RMW,CMA,RF
  1964,   12.54,    0.33,    9.86,   -2.98,    6.80,    3.54
  1965,   10.52,   24.43,    7.36,   -0.79,   -3.16,    3.93
  1966,  -13.51,    2.16,   -0.68,   -0.12,   -0.34,    4.76
  1967,   24.49,   50.46,   -8.57,    7.52,  -15.04,    4.21
  1968,    8.79,   26.29,   18.50,  -12.84,   16.13,    5.21
  1969,  -17.54,  -14.06,   -9.81,   11.75,   -4.11,    6.58
  1970,   -6.49,  -12.36,   22.34,   -2.64,   24.45,    6.52
  1971,   11.78,    5.58,  -11.30,   10.16,   -5.86,    4.39
  1972,   13.05,  -11.43,    1.75,    8.00,   -3.05,    3.84
  1973,  -26.18,  -19.99,   18.05,   -9.03,    6.65,    6.93
  1974,  -35.75,    0.66,    9.74,   -4.04,   22.89,    8.00
  1975,   32.44,   19.05,    9.49,    0.53,    0.48,    5.80
  1976,   21.91,   19.89,   24.50,   -6.66,    7.48,    5.08
  1977,   -8.26,   24.62,    7.48,    2.18,   -0.37,    5.12
  1978,    1.03,   13.68,    0.37,    5.07,    4.15,    7.18
  1979,   13.09,   21.56,   -1.28,   -2.05,   -1.71,   10.38
  1980,   22.13,    4.91,  -25.05,   14.08,  -11.32,   11.24
  1981,  -18.13,    7.48,   25.01,   -1.60,   10.36,   14.71
  1982,   10.66,    7.42,   13.59,   -4.46,   18.01,   10.54
  1983,   13.74,   11.84,   20.85,    0.67,   16.43,    8.80
  1984,   -6.05,   -8.45,   19.63,   14.88,    3.84,    9.85
  1985,   24.91,   -0.42,    1.73,   11.61,   -2.49,    7.72
  1986,   10.12,  -10.37,    9.58,    7.13,    9.84,    6.16
  1987,   -3.87,  -11.28,   -1.64,    6.20,    6.90,    5.47
  1988,   11.55,    6.46,   14.77,    3.08,    9.74,    6.35
  1989,   20.49,  -13.02,   -4.29,    2.74,    8.21,    8.37
  1990,  -13.95,  -14.31,   -9.72,    7.45,    0.60,    7.81
  1991,   29.18,   15.76,  -14.41,   12.07,  -14.91,    5.60
  1992,    6.23,    9.08,   24.28,    7.55,    6.96,    3.51
  1993,    8.21,    6.01,   18.90,   -8.57,   12.00,    2.90
  1994,   -4.10,   -2.54,   -0.66,    6.36,    3.92,    3.90
  1995,   31.22,   -8.17,    5.24,    2.03,    2.84,    5.60
  1996,   15.96,   -2.80,    6.14,   15.59,    0.52,    5.21
  1997,   25.96,   -6.15,   17.53,   10.56,    5.24,    5.26
  1998,   19.46,  -28.65,   -8.86,    0.63,   -4.59,    4.86
  1999,   20.57,    8.53,  -31.79,  -27.90,   -8.48,    4.68
  2000,  -17.60,    4.21,   39.74,   26.62,   32.74,    5.89
  2001,  -15.20,   23.64,   19.48,   19.88,   11.81,    3.83
  2002,  -22.76,    5.81,    7.46,   20.43,   14.47,    1.65
  2003,   30.75,   24.47,    5.33,  -20.48,   17.35,    1.02
  2004,   10.72,    7.39,    8.07,    8.32,   -7.95,    1.20
  2005,    3.09,   -0.77,    8.31,    1.79,   -5.07,    2.98
  2006,   10.60,    1.53,   14.10,    2.15,    8.17,    4.80
  2007,    1.04,   -7.99,  -14.69,    4.51,   -7.81,    4.66
  2008,  -38.34,    3.36,    0.81,   15.10,    4.15,    1.60
  2009,   28.26,    7.90,   -9.16,    2.55,   -2.72,    0.10
  2010,   17.37,   13.30,   -5.30,   -1.34,    9.84,    0.12
  2011,    0.44,   -5.74,   -8.45,   12.59,   -1.06,    0.04
  2012,   16.28,    0.06,    9.73,   -4.55,    9.32,    0.06
  2013,   35.20,    7.76,    1.50,   -4.33,    1.35,    0.02
  2014,   11.70,   -8.09,   -1.64,    1.04,   -1.64,    0.02
  2015,    0.07,   -5.85,   -9.61,    0.87,   -8.68,    0.02
  2016,   13.30,    9.15,   22.89,    4.76,    9.45,    0.20
  2017,   21.50,   -5.89,  -13.86,    6.67,  -11.72,    0.80
  2018,   -6.93,   -5.09,   -9.40,   -1.31,    0.27,    1.81
