% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2018
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2018 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2018, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197510	 -0.06497047	  0.02609956	  0.09125723	
197511	  0.00741821	  0.02874450	  0.03609542	
197512	 -0.02442703	 -0.02116723	 -0.00323456	
197601	 -0.06026915	 -0.03537410	  0.01755052	
197602	 -0.01850114	  0.05096586	 -0.04261414	
197603	 -0.01869402	  0.00894774	 -0.01655556	
197604	 -0.02836402	 -0.04856843	 -0.01947486	
197605	 -0.09014351	 -0.08793005	 -0.04169475	
197606	 -0.06495307	 -0.02370415	 -0.00622104	
197607	 -0.09136411	 -0.05330470	 -0.02753544	
197608	 -0.01516016	  0.03182349	  0.01783943	
197609	 -0.03775431	  0.01795549	 -0.01533322	
197610	 -0.08540867	 -0.04460887	  0.00439052	
197611	 -0.08199307	 -0.02130102	 -0.02341377	
197612	 -0.02603544	  0.05605432	 -0.01257718	
197701	 -0.06249116	 -0.04447555	 -0.03111569	
197702	 -0.00039971	  0.03557916	 -0.01063134	
197703	 -0.05633518	  0.03202724	  0.01106640	
197704	 -0.01072185	 -0.00946936	 -0.02957247	
197705	 -0.03332456	 -0.01464286	  0.01764153	
197706	 -0.00864341	  0.01630346	  0.02062001	
197707	 -0.04816932	 -0.01402751	  0.00105081	
197708	 -0.04412220	  0.00490519	  0.03122732	
197709	 -0.04748178	 -0.02157792	  0.01184949	
197710	 -0.03260695	 -0.00203186	 -0.01135630	
197711	 -0.01279571	  0.02830560	  0.00411296	
197712	  0.02084873	  0.03515139	 -0.00533581	
197801	 -0.04222258	 -0.00693340	  0.00576362	
197802	 -0.01929822	  0.01261664	 -0.00164297	
197803	 -0.01049430	  0.00313112	  0.01568233	
197804	 -0.00780383	  0.01843189	  0.03447846	
197805	  0.01785201	  0.02123430	  0.01246015	
197806	  0.01073519	  0.01274402	  0.00816507	
197807	 -0.04349239	 -0.03675109	  0.02739885	
197808	  0.02096417	  0.03626510	 -0.00124714	
197809	 -0.00570674	 -0.01202347	 -0.02601002	
197810	 -0.10828928	 -0.10301053	  0.04434662	
197811	 -0.07491575	 -0.03143683	 -0.03524500	
197812	 -0.03422058	  0.03737433	  0.00439879	
197901	 -0.01441439	  0.02532621	 -0.00997206	
197902	 -0.03296427	  0.00726209	 -0.02951648	
197903	 -0.04381288	  0.02149517	 -0.00618526	
197904	  0.00478602	  0.05562609	  0.01756117	
197905	 -0.08102735	 -0.04642882	 -0.02161642	
197906	 -0.01188102	  0.02328358	 -0.01745838	
197907	  0.02263928	  0.06153247	 -0.01690610	
197908	  0.01305124	  0.03585190	  0.01554346	
197909	 -0.07426784	 -0.06421427	 -0.01165099	
197910	 -0.15447257	 -0.10410013	 -0.00122565	
197911	 -0.03883258	  0.00909965	 -0.06874130	
197912	 -0.00920058	  0.02627757	 -0.01634542	
198001	 -0.05958447	 -0.01966150	 -0.00161681	
198002	 -0.09784091	 -0.04249171	  0.01708748	
198003	 -0.14193797	 -0.08568667	  0.03142911	
198004	 -0.05117316	 -0.02858039	 -0.01033023	
198005	  0.03284126	  0.07966083	 -0.00680581	
198006	 -0.01566887	  0.00243598	  0.01087005	
198007	 -0.03519602	 -0.01760903	 -0.00821639	
198008	  0.00723605	  0.05264739	  0.01071242	
198009	 -0.04758752	 -0.01719506	  0.01339611	
198010	 -0.01239088	  0.03493401	  0.02768808	
